Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
56,Entry short,2025-06-24 21:33,S,3309.187,39.09,129356.1198,4.79,0.00,183.28,0.14,-56.35,-0.04,2003.09,20.03
57,Exit short,2025-06-24 22:39,S TP1,3296.362,8.4,27727.1148,36.59,0.13,37.49,0.14,-19.61,-0.07,2038.96,20.39
57,Entry short,2025-06-24 22:39,S,3300.847,8.4,27727.1148,36.59,0.13,37.49,0.14,-19.61,-0.07,2038.96,20.39
58,Exit short,2025-06-24 22:42,S TP2,3300.732,33.64,111040.4931,2.25,0.00,178.98,0.16,-78.53,-0.07,2041.93,20.42
58,Entry short,2025-06-24 22:39,S,3300.847,33.64,111040.4931,2.25,0.00,178.98,0.16,-78.53,-0.07,2041.93,20.42
59,Exit long,2025-06-25 03:03,L TP1,3316.643,17.11,56797.38073,-50.7,-0.09,29.8,0.05,-49.8,-0.09,1990.51,19.91
59,Entry long,2025-06-25 02:06,L,3319.543,17.11,56797.38073,-50.7,-0.09,29.8,0.05,-49.8,-0.09,1990.51,19.91
60,Exit long,2025-06-25 03:03,L TP2,3316.643,68.48,227322.3046,-200.21,-0.09,119.26,0.05,-199.31,-0.09,1791.02,17.91
60,Entry long,2025-06-25 02:06,L,3319.543,68.48,227322.3046,-200.21,-0.09,119.26,0.05,-199.31,-0.09,1791.02,17.91
61,Exit long,2025-06-25 05:39,L TP1,3322.204,21.03,69914.82384,-49.95,-0.07,13.74,0.02,-49.05,-0.07,1740.35,17.40
61,Entry long,2025-06-25 04:42,L,3324.528,21.03,69914.82384,-49.95,-0.07,13.74,0.02,-49.05,-0.07,1740.35,17.40
62,Exit long,2025-06-25 05:39,L TP2,3322.204,84.14,279725.7859,-197.16,-0.07,54.98,0.02,-196.26,-0.07,1543.91,15.44
62,Entry long,2025-06-25 04:42,L,3324.528,84.14,279725.7859,-197.16,-0.07,54.98,0.02,-196.26,-0.07,1543.91,15.44
63,Exit long,2025-06-25 09:21,L TP1,3327.96,29.68,98736.99024,35.78,0.04,36.68,0.04,-16.74,-0.02,1578.97,15.79
63,Entry long,2025-06-25 09:12,L,3326.718,29.68,98736.99024,35.78,0.04,36.68,0.04,-16.74,-0.02,1578.97,15.79
64,Exit long,2025-06-25 09:30,L TP2,3329.516,118.73,394981.2281,330.59,0.08,331.49,0.08,-66.97,-0.02,1910.28,19.10
64,Entry long,2025-06-25 09:12,L,3326.718,118.73,394981.2281,330.59,0.08,331.49,0.08,-66.97,-0.02,1910.28,19.10
65,Exit long,2025-06-25 09:39,L TP1,3326.979,28.14,93672.23502,-52.13,-0.06,8.46,0.01,-51.23,-0.05,1857.43,18.57
65,Entry long,2025-06-25 09:33,L,3328.793,28.14,93672.23502,-52.13,-0.06,8.46,0.01,-51.23,-0.05,1857.43,18.57
66,Exit long,2025-06-25 09:39,L TP2,3326.979,112.59,374788.8039,-205.86,-0.05,33.85,0.01,-204.96,-0.05,1652.29,16.52
66,Entry long,2025-06-25 09:33,L,3328.793,112.59,374788.8039,-205.86,-0.05,33.85,0.01,-204.96,-0.05,1652.29,16.52
67,Exit long,2025-06-25 14:57,L TP1,3331.812,28.34,94468.64102,-46.17,-0.05,10.65,0.01,-45.27,-0.05,1605.4,16.05
67,Entry long,2025-06-25 14:51,L,3333.403,28.34,94468.64102,-46.17,-0.05,10.65,0.01,-45.27,-0.05,1605.4,16.05
68,Exit long,2025-06-25 14:57,L TP2,3331.812,113.39,377974.5662,-182.02,-0.05,42.59,0.01,-181.12,-0.05,1424.1,14.24
68,Entry long,2025-06-25 14:51,L,3333.403,113.39,377974.5662,-182.02,-0.05,42.59,0.01,-181.12,-0.05,1424.1,14.24
69,Exit long,2025-06-25 16:42,L TP1,3335.958,16.98,56607.29574,36.19,0.06,37.09,0.07,-12.8,-0.02,1459.57,14.60
69,Entry long,2025-06-25 16:42,L,3333.763,16.98,56607.29574,36.19,0.06,37.09,0.07,-12.8,-0.02,1459.57,14.60
70,Exit long,2025-06-25 16:48,L TP2,3333.896,67.92,226429.183,7.41,0.00,233.06,0.10,-51.18,-0.02,1467.7,14.68
70,Entry long,2025-06-25 16:42,L,3333.763,67.92,226429.183,7.41,0.00,233.06,0.10,-51.18,-0.02,1467.7,14.68
71,Exit long,2025-06-25 17:09,L TP1,3329.565,15.33,51088.42074,-47.27,-0.09,8.28,0.02,-46.37,-0.09,1419.72,14.20
71,Entry long,2025-06-25 16:51,L,3332.578,15.33,51088.42074,-47.27,-0.09,8.28,0.02,-46.37,-0.09,1419.72,14.20
72,Exit long,2025-06-25 17:09,L TP2,3329.565,61.33,204387.0087,-186.41,-0.09,33.13,0.02,-185.51,-0.09,1234.03,12.34
72,Entry long,2025-06-25 16:51,L,3332.578,61.33,204387.0087,-186.41,-0.09,33.13,0.02,-185.51,-0.09,1234.03,12.34
